country,avg,country2,single
USA,165,USA,143
Australia,71,Australia,59
Poland,64,Poland,48
China,52,China,48
Japan,41,Japan,32
Netherlands,27,Netherlands,34
Germany,26,Germany,32
Hungary,23,Hungary,36
France,11,France,10
Korea,11,Korea,7
Sweden,11,Sweden,19
Finland,10,Finland,12
Belgium,8,Belgium,7
Canada,8,Canada,6
Denmark,8,Denmark,7
Peru,8,Peru,10
Italy,7,Italy,4
Brazil,6,Brazil,3
Taiwan,4,Taiwan,3
United Kingdom,4,United Kingdom,14
Hong Kong,2,Hong Kong,3
Malaysia,2,Malaysia,2
India,2,India,3
Czech Republic,1,Czech Republic,2
Mexico,1,Mexico,1
Thailand,1,Thailand,1
Indonesia,1,Indonesia,2
Russia,1,Russia,8
New Zealand,1,NaN,0
Argentina,1,NaN,0
Israel,3,NaN,0
Spain,2,NaN,0
Romania,1,NaN,0
Philippines,1,NaN,0
Belarus,1,NaN,0
